Term,Definition
lugubrious," 悲傷的(尤指誇張地)、憂鬱的
adj. dismal; morunful
"
lurid," 聳人聽聞的、可怕的
adj. having bright glaring colours or combinations of colour
"
substantiate," 證實
v. give facts to support (a claim. statement, etc); prove
"
torpor," 麻木的、無精打采、遲鈍
[反]ardor(熱心、熱情)
n. torpid condition
"
truculent," 好鬥的、殘酷的
adj. defiantand aggressive
"
ubiquitous," 無所不在的
[類] omnipresent, universal
adj. (seeming to be) present everywhere or in several places at the same time
"
prodigal," 非常浪費的、揮霍的
[類]extravagant, profligate, spendthrift, squandering
[反] economical, frugal, thrifty
adj. spending money or resources too freely; extravagant
"
articulate," 清楚表達的、口齒伶俐的
adj. able to express one's ideas clearly in words
"
authoritative," 權威的、官方的、專斷的
adj.having authority; that can be trusted; reliable
"
censure," 責備、譴責
v. sb criticize sb severely; rebuke sb formally
"
reconcile," 和解、調和
to make consistent or congruous
"
excoriate," 痛責、剝(皮)
to censure scathingly
"
didactic," 說教的、教導的
adj. intended to teach
"
equivalent," 相等的、等值的
adj. equal in value, amount, meaning, importance, etc
"
conformity," 一致、遵從、順從
"
frivolous," 輕浮的、草率的
adj. not sensible or serious; foolish and light-hearted
"
ingenious," 聰明的、有發明天才的
adj. (at sth/doing sth)(of a person) clever at finding new or simple solutions for complex problems
"
germane," 有密切關係的、貼切的
[類] fitting
adj. (fml) relevant
"
abhorrent," 可恨的、討厭的
adj. disgusting; hateful
"
transitory," 短暫的、瞬息的
[類] temporary
adj. lasting for only a short time; transient
"
objective," 客觀的
[類] n. objectivity
adj. not influenced by personal feelings or opinions; unbiased; fair
"
loquacious," 多話的、非常健談的
[類] garrulous, talkative
[反] laconic, reticent, taciturn
adj. fond talking; talkative
"
mediocre," 平凡的、平庸的
[類] common
adj. not very good; second-rate
"
disparage," 貶抑、輕蔑
[類] slight
v. suggest, esp unfairly, that is of little value or importance
"
impartial," 公平的、無私的
adj. not favoring one person or thing more than another; fair or neutral
"
antipathy," 反感、厭惡
[類] animosity, animus, antagonism, rancor
[反] affection(友愛)
settled aversion or dislike; distaste
"
dispassionate," 不被感情所動的、冷靜的
adj. not influenced by emotion; impartial
"
perpetuate," 使永存不朽、使不朽
v. cause to continue
"
plausible," 貌似真實的、貌似有理的
[反] implausible
adj. seeming to be right or reasonable; believable
"
imprudent," 不謹慎的、輕率的、魯莽的
[反] prudent
adj. not wise or discreet; not prudent
"
rigid," 嚴格的、剛硬的
adj. stiff; not bending or yielding
"
condescending," 屈尊的
"
inconsequential," 不重要的、微不足道的
adj. trivial or irrelevant; not important
"
subside," (房屋)下線、平息
v. sink to a lower or to the normal level
"
restrain," 克制、抑制
v. sb/sth hole back sb/sth from movement action; keep sb/sth under control or in cheek
"
portend," 預示、預先警告
v. be a sign or warning of (sth in the future); foreshadow
"
transitory," 短暫的、一直的
adj. lasting for only a short time; transient
"
improvise," 即興創作、即興表演
[類] extemporize
v. compose or play (music), speak or act without previous preparation
"
bolster," v. 支持、鼓勵、增強 n. 長枕
n. long pillow, use shaped like a roll, across the head of a bed
"
disinterested," 無私的
[類] impartial
[反] prejudiced, factional
adj. not influenced by personal feelings or interests; unbiased
"
fathom," 噚(水深單位)、理解、了解原因
[反] a. unfathomable 難以理解的、高深莫測的
n. measure of the depth of water, 61.8
"
flout," 藐視、輕蔑、嘲笑
v. disobey openly and scornfully
"
frugal," 節約的、簡樸的
[類] thrifty, economical, sparing
[反] profligate, extravagant
adj. careful and thrifty, esp with money and food
"
hackneyed," 陳腐的
adj. used so often that is has become trite and dull
"
lethargic," 瞌睡的、愛睡的
adj. hot weather makes me lethargic
"
parsimonious," 吝嗇的、過於儉省的
[反] profligate(肆意揮霍的)
adj. very careful in spending money or using resources, mean
"
peculiar," 奇怪的、罕見的、古怪的
"
prerequisite," 不可或缺的、事先需要的
adj. (infml) required as a condition (for sth)
"
shun," 避開、躲開
[類] avoid, dodge, duck
v. keep away from (sth/sb); avoid
"
spurious," 假的、站不住腳的、欺騙性的
adj. not genuine or authentic; false or fake
"
supplement," 補充、增加
n. thing added to sth else to improve or complete it
"
vacillate," 猶豫不決
[類] waver, hestitate
v. (fml usu derog) keep changing one's mind; move backwards and forwards between two emotions
"
exigent," 緊急的、要求多的
[類] critical,acute 
adj. requiring immediate action; urgent
"
altruism," 利他主義
n. principle of considering the welfare and happiness of others before one's own; unselfishness
"
inept," 無能的、不恰當的
adj. (at sth/doing sth) completely unskillful (at sth)
"
concede," 承認、讓步
[類] n. concession 讓步
v. sth admit that sth is true, valid, proper, etc
"
precedent," 在先的、在前的
n. earlier decision, case, event, etc that is regarded as an example or rule for what comes later
"
precursor," 先驅、先兆
n. (of sth) person or thing that comes before sth; forerunner
"
facetious," 輕浮的、好開玩笑的
adj. intended to be amusing, often inappropriately
"
deference," 尊敬
[類] respect
[反] effrontery (厚顏無恥、放肆)
n. giving way to the views, wishes, etc of others, use out of respect; respect
"
peripheral," 外圍的、周邊的、邊緣的
adj. of secondary or minor importance (to sth)
"
diffuse," 四散、擴散、雜亂的
v. spread all around; send out in all directions
"
congenial," 意氣相投的、性情好的
adj. pleasing because of similarities in temperament, interests, etc
"
aggrandize," 加大、強化
to make appear great or greater; praise highly
"
alleviate," 緩和、減輕
[類] mitigate
v. make less severe; ease
"
lucrative," 賺錢的、有利可圖的
adj. producing much money; profitable
"
innovative," 創新的
adj. introducing or using new ideas, techniques, etc
"
anonymity," 匿名、作者不詳
[類] adj. anonymous
n. state of being anonymous
"
compatible," 和諧共處的、相容的
adj. (of people, ideas, arguments, principles, etc) suited; that can exist together
"
impede," 妨礙、阻礙、阻止
v. hinder or obstruct the progress or movement of
"
pedestrian," 徒步的、缺乏想像的
n. person walking in the stree
"
impetuous," 性急的、魯莽的、衝動的
adj. acting or done quickly and with little thought or care; rash or impulsive
"
complacent," 滿足的、自滿的
adj. (use derog) calmly satisfied with oneself, one's work, etc
"
inexplicable," 無法說明的、難以理解的、莫名其妙的
adj. that cannot be explained
"
replicate," 摺疊、複製
v. be or make a copy of (sth); reproduce
"
apprehend," 理解、逮捕、恐懼
v. seize (sb); arrest
"
pristine," 原始的、清新的、純樸的
adj. in its original condition; unspoilt
"
derivative," 非原創的、衍生的
adj. derived from sth else; not original
"
conscientious," 盡責的、小心謹慎的
adj. careful to do what one ought to do, and do it as well as one can
"
assert," 斷言、主張
[類] n. assertion; a. assertive
v. make others recognize (sth) by behaving firmly and confidently
"
consistent," 始終如一的、前後一致的
adj. (of a person, his behavior, his views, etc) always keeping to the same pattern or style; unchanging
"
insolent," 粗魯無禮的、傲慢的
adj. extremely rude, esp in expressing contempt
"
conspicuous," 顯著的、顯而易見的
adj. easily seen; noticeable; remarkable
"
distortion," 扭曲、曲解
n. distorting or being distorted
"
intricate," 複雜難懂的
adj. made up of many small parts put together in a complex way, and therefore difficult to follow or understand
"
inadvertent," 不注意的、怠慢的
adj. done without thinking or not deliberately
"
viable," 可行的、能活下去的
adj. sound and workable; feasible
"
buoyant," 能浮起的、看漲的、繁榮的
adj. (of an object) able to float
"
empiricism," 經驗主義、經驗論
n. use of empirical methods
"
exuberant," 熱情的、豐富的、繁茂的
[類] n. exuberance
adj. overflowing with happiness and excitement; very lively and cheerful
"
fickle," 易變的、無常的
[類] capricious
adj. often changing; not constant
"
inhibited," 拘謹的、綁手綁腳的
adj. (of people) unable to relax or express one's feelings in a natural and spontaneous way
"
intelligible," 可理解的
adj. that can be understood
"
opprobrium," 辱罵
n. public disgrace and shame
"
pretentious," 自命不凡的
[類] n. pretention 自負、做作
adj. claiming merit or importance; pompous or showy
"
rancor," 仇恨、激烈的憎惡
bitter deep-seated ill will
"
reiterate," 重申、反覆說
v. say or do (sth) again or repeatedly
"
restive," 不安寧的、焦躁不安的
adj. restless or uneasy
"
undercut," 削弱
n. (meat cut from the ) underside of sirloin
"
veneration," 尊敬
regard with deep respect
"
acrimonious," 尖刻的、嚴厲的
adj. bitter
"
acrimony," 尖刻、刻薄
[反] civility, comity
n. bitterness of manner or words
"
exacting," 嚴格的、嚴厲的
adj. making great demands; requiring great effort
"
antagonistic," 敵對的、對抗性的
"
apt," 適合的、易於...的、有...傾向的
adj. suitable, appropriate
"
embellish," 美化、裝飾
v. sth make sth beautiful by adding ornaments, etc
"
recapitulate," 扼要重述、蓋誇
v. state again or summarize the main points of
"
captious," 吹毛求疵的
[類] carping
adj. fond of criticizing or raising objections about unimportant matters; quibbling
"
excavate," 挖掘、挖出
v. make (a hole or channel) by digging; remove (soil, etc) by digging
"
censorious," 好批評的、好吹毛求疵的
adj. tending to find faults in people or things; severely critical
"
anachromistic," 時代錯誤的
"
encumber," 妨礙、拖累
to impede or hamper the function or activity of; hinder
"
dichotomy," 二分法、矛盾、分歧
n. (fml) separation into or between two groups or things that are opposed, entirely different, etc
"
dogmatism," 教條主義
n. (quality of) being dogmatic
"
adequate," 足夠的
[反] inadequate
adj. satisfactory in quantity or quality; sufficient
"
feckless," 無效的、無能的
adj. inefficient; irresponsible
"
grandiose," 宏偉的、誇大的
[類] pompous 誇大的, grand(壯麗的)
adj. planned on a large scale; (intended to seem_ imposing
"
incongruous," 不協調的、不一致的
adj. strange because not in harmony with the surrounding features; out of place
"
emulate," 效法、模仿
v. sb (fml) try to do as well as or better than sb
"
judicious," 有判斷力的、明智的
adj. showing or having good sense
"
mandate," 命令、指令
[類] a. mandatory
n. (to do sth) authority given to a party, trade union, etc by the people who support it
"
mandatory," 命令的、強迫的
adj. required by law; compulsory
"
mendacious," 虛偽的、說謊的
[類] n. mendacity 虛偽
adj. untruthful; lying
"
abnegate," 否認、放棄
vt. to give up (rights or a claim, for example); renounce
"
notoriety," 惡名昭彰、聲名狼藉
n. fame for being bad in some way
"
optimistic," 樂觀的
adj. expecting the best; confident
"
impassioned," 充滿激情的、慷慨激昂的、熱烈的
[類] a. impassionate 充滿熱情的
adj. showing strong deep feeling
"
expedient," 方便的、權宜的
adj. useful, helpful or advisable for a particular purpose, though not necessarily fair or moral
"
compelling," 令人注目的、強制的
adj. extremely interesting and exciting, so that one has to pay attention
"
implacable," 不能安撫的、難和解的
adj. that cannot be changed or satisfied
"
duplicity," 欺騙、口是心非
n. deliberate deception
"
salutary," 有益的、有益健康的
[反] a. salubrious
adj. having a good effect
"
schism," 分裂
n. strong disagreement, esp in a religious organization over doctrine, in which one group stops recognizing the authority of the other
"
consensus," 意見一致
n. agreement in opinion; collective opinion
"
insipid," 沒有味道的、清淡的
adj. having almost no taste or flavour
"
consolidate," 鞏固、堅強、合併
v. become more solid, secure, or strong
"
detached," 分開的、超然的、不受影響的
[類] v. detach 分開、拆卸
adj. not influenced by others; impartial
"
abstemious," 有節制的、節儉的
adj. not taking much food or drink; not self-indulgent; moderate
"
intimidate," 威嚇、脅迫
v. sb frighten sb (in order to make him do sth)
"
monotonous," 單調的、無聊的
adj. not changing and therefore uninteresting; boring or tedious
"
intractable," 倔強的、難管的
[類] recalcitrant, intransigent
[反] tractable, docile
adj. not easily controlled or dealt with; hard to manage
"
evade," 逃避、規避
v. get or keep out of the way of
"
evanescent," 逐漸消失的、短暫的
[類] ephemeral, transient, fugacious
adj. quickly fading; soon disappearing from memory
"
vapid," 無味的、走了味的
adj. dull or uninteresting
"
virtuosity," 精湛的技巧、高潮
n. skill of a virtuoso
"
artful," 狡猾的
adj. cunningly clever at getting what one wants; crafty
"
astute," 敏銳的、精明的
adj. clever and quick at seeing how to gain an advantage; shrewd
"
austere," 嚴厲的、簡樸的
adj. severely and strictly moral; having no pleasures or comforts
"
avarice," 貪得無厭、貪婪
n. greed for wealth or gain
"
banal," 陳腐的、平庸的
[類] dull, stale, hackneyed, commonplace, insipid, trite, vapid, jejune
adj. commonplace; uninteresting
"
bland," 無味的、溫和的、和藹的
adj. gentle or casual in manner; showing no strong emotions; suave
"
calamity," 災難、禍患
[類] disaster, cataclysm
n. serious misfortune or disaster
"
contest," 比賽、爭論
dispute
"
daunting," 令人氣餒的、令人畏懼的
"
downplay," 將...輕描淡寫
debase; lower
"
ebb," 退潮、衰退
v. (of the tide) go out; recede
"
embody," 具體實現、體現
v. sth (in sth) (fml) express or give visible form to (ideas, feelings, etc)
"
extraneous," 多餘的、無直接關係的
adj. not belonging to or directly connected with the subject or matter being dealt with
"
fluctuate," 波動、變動
v. (of a price, number, rate, etc) rise and fall; change irregularly
"
forbear," 忍耐、抑制
n. forbearance
"
hamper," 妨礙、束縛
"
impenetrable," 不能通過的、不能穿透的
[反] penetrable
adj. that cannot be entered, passed through, etc
"
indulgent," 縱容的、溺愛的
adj. inclined to indulge
"
lament," 抱怨、哀悼、悲嘆
[類] mourn, deplore, wail
v. (for/ over sb/sth) feel or espress great sorrow or regret for (sth/sb)
"
oblivious," 未察覺的、健忘的
adj. of/to sth unaware of or not noticing sth; having no memory of sth
"
provincial," 偏狹的
[類] parochial, insular
adj. of a province
"
quixotic," 不切實際的、空想的
[類] impractical
adj. noble, unselfish or gallant in an extravagant or impractical way
"
stymie," 阻礙、妨礙
[類] clog, cramp
n. situation on the green ih which an opponent's ball is between one's own ball and the hole
"
unctuous," 假殷勤的、滑腔油調的
[類] insincere
adj. insincerely earnest or flattering, esp in an oily way
"
hierarchy," 階層、等級制度
n. system with grades of authority or status from the lowest to the highest
"
callous," 無情的、硬結的
[類] heartless
adj. cruelly insensitive or unsympathetic
"
precede," 在...之前、早於
v. come or go before in time, order, rank, etc
"
elicit," 引出、誘出
v. sth (fml) draw (facts, a response, etc) from sb, sometimes with difficulty
"
clandestine," 祕密的、案中的
adj. done secretly, kept secret, surreptitious
"
conciliatory," 撫慰的、調和的
"
aristocrat," 貴族
[類] n. aristocracy 貴族階層
n. member of the aristocracy; nobleman or noblewoman
"
discrepancy," 不同、矛盾
n. difference, failure to agree
"
discrete," 個別的、不連續的
adj. separate, distinct
"
discretion," 謹慎、斟酌
n. quality of being discreet, good judgement
"
culprit," 禍端、犯罪者
n. person who has done sth wrong, offender
"
curtail," 縮減、削減
v. make shorter or less, reduce
"
condone," 原諒、寬恕
v. treat or regard as if it were not serious or wrong, overlook, forgive
"
adroit," 靈巧的、熟練的
[類] dexterous, nimble(敏捷的)
adj. skillful, clever
"
aberrant," 越軌的、異常的
adj. not following the normal or correct way
"
efficacious," 有效的、靈驗的
adj. (not of people producing the desired result effective)
"
multifaceted," 多面向的
"
profligate," 非常浪費的
[類] prodigal
adj. recklessly extravagant or wasteful
"
formative," 形成的、構成的
[類] n. formulation 規劃、構想、公式化
adj. having an important and lasting influence on the development of sb's character
"
discomfit," 使窘迫、使尷尬
v. confuse or embarrass (sb)
"
profound," 深刻的、深奧的
adj. deep, intense or far-reaching, very great
"
genre," 文藝作品之類型
n. particular style or kind, esp of works of art or literature, grouped according to their form or subject mattěr
"
congruent," 適合的、一致的
adj. having the same size and shape
"
haphazard," 無計畫的、任意的、偶然的
[類] chance
adj. without plan or order; random
"
imperative," 必要的、緊急的、極重要的
adj. very urgent or important; needing immediate attention
"
circuitous," 迂迴的、繞圈子的
adj. long and indirect; round about
"
justify," 證明...是正當的、為...辯護、是...的正當理由
v. show that (sb/sth) is right, reasonable or just
"
proliferate," 繁殖、激增
v. produce new growth or offspring rapidly; multiply
"
allusive," 暗指的
"
delude," 欺騙、哄騙
v. sb deliberately mislead sb; deceive sb
"
luxuriant," 繁茂的、肥沃的
adj. growing thickly and strongly; lush
"
demonstrable," 可證明的、顯而易見的
adj. that can be shown or proved
"
amorphous," 無定型的
adj. having no definite shape or form; not organized
"
demur," 表示異議、反對
v. (at sth)(fml) express a doubt (about sth) or an objection (to sth)
"
negate," 取消、否認
v. deny or disprove the existence of (sb/sth)
"
neutral," 中立的、中立國的
adj. not supporting or helping either side in a dispute, contest, war, etc; impartial
"
ossify," 硬化、骨化、使僵化
v. (fml) (cause sth to) become hard like bone; change into bone
"
partial," 局部的、偏袒的
"
empathy," 同理
n. ability to imagine and share another person's feelings, experience, etc
"
passivity," 被動、消極
passive: not active or not participating perceptibly in an activity, organization, etc
"
impeccable," 無懈可擊的、無缺點的
adj. free from mistakes; excellent or faultless
"
pejorative," 貶抑的、輕蔑的
adj. expressing criticism or scorn; derogatory; disparaging
"
euphemism," 委婉的說法
n. use of pleasant, mild or indirect words or phrases in place of more accurate or direct ones
"
implausible," 難以置信的、不像真實的
adj. unlikely to be true; not convincing
"
apposite," 適當的、貼切的
[類] appropriate, apt, relevant, applicable, applicative, applicator, apropos, pertinent
[反] opposite(a.相反的), extraneous(a.無關係的)
adj. (of a remark, etc) very appropriate (for a purpose or an occasion)
"
deprecate," 反對、輕視
v. feel and express disapproval of (sth)
"
repress," 壓抑、抑制、鎮壓
v. restrain or suppress (an impulse); check
"
primacy," 卓越、第一位
n. leading position; pre-eminence
"
irascible," 易怒的、暴躁的
adj. (of a person) easily made angry
"
rudimentary," 基本的、初步的
adj. existing in an imperfect or undeveloped form
"
salient," 顯著的、突出的
[類] conspicuous
adj. most noticeable or important; main
"
ascendancy," 優勢的、統治權、支配力量
n. (position of) having dominant power or control
"
prescient," 有先見的、預知的
adj. knowing about things before they take place; able to see into the future
"
proscribe," 禁止、剝奪...的公權、放逐
v. state officially that (sth) is dangerous or forbidden
"
obsequious," 逢迎的、諂媚的
[類] fawning
adj. (to sb) too willing to obey or serve; too respectful (esp in the hope of getting a reward or favor from sb)
"
obsolescent," 逐漸被廢棄的、即將過時的
adj. becoming out of date,; going out of use
"
speculate," 沈思、思索、投機
v. form opinions without having definite or complete knowledge or evidence; guess
"
constant," 固定的、不變的
adj. going on all the time; happening again and again
"
obstinate," 固執的、倔強的
adj. refusing to change one's opinion or chosen course of action; stubborn
"
presumptuous," 專橫的、自以為是的、冒失地、放肆的
adj. (of a person or his behavior) too bold or self-confident
"
pertain," 屬於、關於
v. to sth (used esp in the continuous tenses) be connected with or relevant to sth
"
temporal," 時間的、世俗的
adj. of worldly affairs, i.e. not spiritual; secular
"
epitome," 典型、摘要
n. thing that shows on a small scale all the characteristics of sth much larger
"
treacherous," 危險的、背叛的、不可靠的
[類] perfidious(背叛的), unreliable(不可靠的)
adj. behaving wither showing treachery
"
circumvent," 迴避、用計謀規避
v. find a way of overcoming or avoiding (sth)
"
vindicate," 為...平反、證明...正確
v. clear (sb/sth) of blame or suspicion
"
aversion," 厭惡、反感
n. strong dislike
"
