ID,Term,NewDefinition,Scores,AccessTime
31,preclude,"排除
阻止
妨礙","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
32,cynical,"憤世嫉俗的
悲觀的
懷疑的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
33,perfunctory,"敷衍的
草率的
表面文章的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
34,lucid,"清晰的
明瞭的
清醒的
透明的","0.94624
0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
35,apathetic,"冷漠的
無動於衷的
漠不關心的","0.796992
0.796992
0.796992","2025-03-10
2025-03-10
2025-03-10"
36,contentious,"有爭議的
引起爭論的
好爭論的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
37,mundane,"世俗的
平凡的
日常的
單調的","0.94624
0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
38,panacea,"萬靈藥
萬能解決方案","0.94624
0.94624","2025-03-10
2025-03-10"
39,polemical,"爭論的
論戰的
好辯的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
40,qualify,"使具備資格
限定
修飾
證明合格
取得資格","0.94624
0.94624
0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10
2025-03-10
2025-03-10"
41,reticent,"沉默寡言的
不愛說話的
有保留的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
42,inimical,"敵意的
不友好的
有害的
不利的","0.94624
0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
43,arbitrary,"任意的
武斷的
隨意的
專橫的","0.81824
0.81824
0.81824
0.81824","2025-03-09
2025-03-09
2025-03-09
2025-03-09"
44,augment,"增加
擴大
提高","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
45,disdain,"輕蔑
鄙視","0.79610112
0.79610112","2025-03-07
2025-03-07"
46,orthodox,"正統的
傳統的
公認的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
47,obfuscate,"使模糊
使混淆
使困惑","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
48,disingenuous,"不真誠的
不坦率的
虛偽的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
49,conjecture,"推測
猜想
臆測","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
50,pellucid,"清澈的
透明的
清晰的
易懂的","0.94624
0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
51,disparate,"截然不同的
不相干的","0.842656
0.842656","2025-03-10
2025-03-10"
52,explicit,"明確的
清楚的
直言不諱的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
53,scrutinize,"仔細檢查
詳細審查
嚴密監視","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
54,synthesize,"合成
綜合
歸納","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
55,trepidation,"恐懼
不安
驚恐","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
56,pervasive,"普遍的
彌漫的
滲透的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
57,fastidious,"挑剔的
講究的
苛求的
過於講究細節的","0.9087616
0.9087616
0.9087616
0.9087616","2025-02-27
2025-02-27
2025-02-27
2025-02-27"
58,ostensible,"表面的
假裝的
聲稱的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
59,trivial,"瑣碎的
不重要的
微不足道的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
60,idiosyncratic,"特質的
獨特的
古怪的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
61,eclectic,"折衷的
兼容並蓄的
廣泛的","0.9328
0.9328
0.9328","2025-03-09
2025-03-09
2025-03-09"
62,laconic,"簡潔的
言簡意賅的
不愛說話的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
63,partisan,"黨派的
偏袒的
黨徒
游擊隊員","0.94624
0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
64,suppress,"鎮壓
抑制
壓制
忍住","0.94624
0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
65,erudite,"博學的
有學問的","0.796992
0.796992","2025-03-10
2025-03-10"
66,abstruse,"深奧的
難懂的","0.94624
0.94624","2025-03-10
2025-03-10"
67,ambivalent,"矛盾的
模稜兩可的
猶豫不決的","0.8836736
0.8836736
0.8836736","2025-06-28
2025-06-28
2025-06-28"
68,veritable,"真正的
名副其實的
不折不扣的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
69,arcane,"神秘的
秘傳的
難以理解的","0.8836736
0.8836736
0.8836736","2025-06-22
2025-06-22
2025-06-22"
70,paradigm,"典範
範例
模式
範式","0.94624
0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
71,sarcastic,"諷刺的
挖苦的
嘲諷的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
72,audacious,"大膽的
無畏的
魯莽的
放肆的","0.94624
0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
73,benign,"良性的
溫和的
和藹的
慈祥的","0.94624
0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
74,candid,"坦率的
直言不諱的
真誠的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
75,condemn,"譴責
判刑
註定（失敗或受損）","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
76,equivocal,"模棱兩可的
含糊不清的
可疑的
不確定的","0.94624
0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
77,aesthetic,"美學的
藝術的
審美的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
78,engender,"產生
引起
導致","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
79,ameliorate,"改善
改良
使好轉","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
80,comprehensive,"全面的
綜合的
廣泛的","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
81,circumscribe,"限制
約束
劃定範圍","0.94624
0.94624
0.94624","2025-03-10
2025-03-10
2025-03-10"
82,antithetical,"對立的
截然相反的","0.94624
0.94624","2025-03-10
2025-03-10"
83,verified,"核實的
證實的
經核對無誤的","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
84,vitiate,"損害
削弱
使無效
敗壞","0.94624
0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
85,adulation,"奉承
諂媚
過度讚揚","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
86,garrulous,"多話的
饒舌的
喋喋不休的","0.871744
0.871744
0.871744","2025-06-22
2025-06-22
2025-06-22"
87,loathe,"厭惡
憎恨
討厭","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
88,whimsical,"異想天開的
古怪的
反覆無常的","0.828992
0.828992
0.828992","2025-03-04
2025-03-04
2025-03-04"
89,zealous,"熱心的
熱情的
積極的","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
90,deft,"靈巧的
熟練的
敏捷的","0.871744
0.871744
0.871744","2025-06-22
2025-06-22
2025-06-22"
91,benefactor,"捐助者
恩人
贊助人","0.871744
0.871744
0.871744","2025-06-22
2025-06-22
2025-06-22"
92,reciprocity,"互惠
相互作用
對等","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
93,solicit,"懇求
招攬
徵求","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
94,recondite,"深奧的
難懂的
隱晦的","0.871744
0.871744
0.871744","2025-06-22
2025-06-22
2025-06-22"
95,preempt,"搶先
取代
預先佔有","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
96,homogeneous,"同質的
均勻的
相同性質的","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
97,ingenuous,"天真的
坦率的
單純的","0.911224
0.911224
0.911224","2025-06-28
2025-06-28
2025-06-28"
98,insular,"島嶼的
孤立的
狹隘的","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
99,relinquish,"放棄
讓出
交出","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
100,elude,"逃避
躲避
使困惑","0.871744
0.871744
0.871744","2025-06-22
2025-06-22
2025-06-22"
101,magnanimous,"寬宏大量的
大度的
慷慨的","0.871744
0.871744
0.871744","2025-06-22
2025-06-22
2025-06-22"
102,plenitude,"充足
豐盛
大量","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
103,precarious,"不穩定的
危險的
岌岌可危的","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
104,approbation,"批准
贊同
認可","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
105,pugnacious,"好鬥的
好戰的","0.796992
0.796992","2025-06-22
2025-06-22"
106,corroborate,"證實
確證
支持","0.871744
0.871744
0.871744","2025-06-22
2025-06-22
2025-06-22"
107,transcendent,"超越的
卓越的
非凡的
超然的","0.871744
0.871744
0.871744
0.871744","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
108,circumspect,"謹慎的
周密的
審慎的","0.871744
0.871744
0.871744","2025-06-22
2025-06-22
2025-06-22"
109,tendentious,"有偏見的
有傾向的
有目的的","0.7693952
0.7693952
0.7693952","2025-06-28
2025-06-28
2025-06-28"
110,temperate,"溫和的
有節制的
適度的","0.871744
0.871744
0.871744","2025-06-22
2025-06-22
2025-06-22"
111,intrigue,"密謀
詭計
激起…的興趣
吸引","0.94624
0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
112,extravagant,"奢侈的
浪費的
過度的
不切實際的","0.8462464
0.8462464
0.8462464
0.8462464","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
113,verbose,"囉嗦的
冗長的
囉唆的","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
114,obviate,"排除
避免
消除(困難、需要等)","0.871744
0.871744
0.871744","2025-06-22
2025-06-22
2025-06-22"
115,abridge,"縮短
節略
刪節","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
116,analogous,"類似的
可比擬的
相似的","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
117,discontinuity,"不連續性
間斷
中斷","0.83968
0.83968
0.83968","2025-06-22
2025-06-22
2025-06-22"
118,intrinsic,"內在的
固有的
本質的
本來的","0.94624
0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
119,lugubrious,"悲傷的
憂鬱的
陰鬱的
悲哀的","0.83968
0.83968
0.83968
0.83968","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
120,lurid,"駭人聽聞的
聳人聽聞的
色彩鮮艷得令人不悅的
（天空、火焰等）火紅色的","0.89776384
0.89776384
0.89776384
0.89776384","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
121,substantiate,"證實
證明","0.94624
0.94624","2025-06-22
2025-06-22"
122,torpor,"麻木
不活躍
遲鈍","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
123,truculent,"好鬥的
野蠻的
殘酷的","0.83968
0.83968
0.83968","2025-06-22
2025-06-22
2025-06-22"
124,ubiquitous,"無處不在的
普遍存在的","0.83968
0.83968","2025-06-22
2025-06-22"
125,prodigal,"揮霍的
浪費的
慷慨的（舊用法）
豐富的，大量的（舊用法）","0.7693952
0.7693952
0.7693952
0.7693952","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
126,articulate,"表達清楚的（形容詞）
口齒清楚的（形容詞）
清晰地表達（動詞）
發音（動詞）
用關節連接（動詞）","0.94624
0.94624
0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22"
127,authoritative,"權威性的
可信的
專斷的","0.871744
0.871744
0.871744","2025-06-22
2025-06-22
2025-06-22"
128,censure,"譴責（動詞）
嚴厲批評（動詞）
譴責（名詞）
批評（名詞）","0.8462464
0.8462464
0.8462464
0.8462464","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
129,reconcile,"調和
使和解
使一致
使接受","0.94624
0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
130,excoriate,"痛斥
嚴厲批評
剝皮（醫學或生物學用語）","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
131,didactic,"說教的
教誨的
有教育意義的","0.871744
0.871744
0.871744","2025-06-22
2025-06-22
2025-06-22"
132,equivalent,"等價的（形容詞）
相等的（形容詞）
等同物（名詞）","0.871744
0.871744
0.871744","2025-06-22
2025-06-22
2025-06-22"
133,conformity,"遵從
符合
一致","0.8462464
0.8462464
0.8462464","2025-06-28
2025-06-28
2025-06-28"
134,frivolous,"輕浮的
不重要的
無聊的","0.871744
0.871744
0.871744","2025-06-22
2025-06-22
2025-06-22"
135,ingenious,"足智多謀的
精巧的
新穎獨創的","0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22"
136,germane,"有密切關係的
中肯的","0.94624
0.94624","2025-06-22
2025-06-22"
137,abhorrent,"可憎的
令人厭惡的
與…背道而馳的","0.8462464
0.8462464
0.8462464","2025-06-28
2025-06-28
2025-06-28"
138,transitory,"短暫的
暫時的","0.8462464
0.8462464","2025-06-28
2025-06-28"
139,objective,"客觀的
不帶偏見的
目標
目的","0.94624
0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
140,loquacious,"話多的
饒舌的","0.871744
0.871744","2025-06-22
2025-06-22"
141,mediocre,"普通的
平庸的
不好不壞的","0.871744
0.871744
0.871744","2025-06-22
2025-06-22
2025-06-22"
142,disparage,"貶低
輕視","0.8462464
0.8462464","2025-06-28
2025-06-28"
143,impartial,"公正的
不偏不倚的","0.94624
0.94624","2025-06-22
2025-06-22"
144,antipathy,"反感
厭惡","0.871744
0.871744","2025-06-22
2025-06-22"
145,dispassionate,"冷靜的
客觀的
不帶感情的","0.8462464
0.8462464
0.8462464","2025-06-28
2025-06-28
2025-06-28"
146,perpetuate,"使永存
使持續","0.94624
0.94624","2025-06-22
2025-06-22"
147,plausible,"貌似有理的
貌似真實的","0.94624
0.94624","2025-06-22
2025-06-22"
148,imprudent,"輕率的
不謹慎的
不明智的","0.7373952
0.7373952
0.7373952","2025-06-22
2025-06-22
2025-06-22"
149,rigid,"堅硬的
不彎曲的
嚴格的
死板的
不變通的","0.94624
0.94624
0.94624
0.94624
0.94624","2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22"
150,condescending,"傲慢的
輕視的
屈尊俯就的","0.908773888
0.908773888
0.908773888","2025-02-27
2025-02-27
2025-02-27"
151,inconsequential,"不重要的
微不足道的
不合邏輯的","0.90516736
0.90516736
0.90516736","2025-02-27
2025-02-27
2025-02-27"
152,subside,"平息
消退
下沉
減弱","0.90516736
0.90516736
0.90516736
0.90516736","2025-02-27
2025-02-27
2025-02-27
2025-02-27"
153,restrain,"抑制
克制
約束
阻止","0.8838243328
0.8838243328
0.8838243328
0.8838243328","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
154,portend,"預示
預兆","0.8928584704
0.8928584704","2025-06-22
2025-06-22"
155,improvise,"即興創作
臨時湊合
權宜之計","0.90516736
0.90516736
0.90516736","2025-02-27
2025-02-27
2025-02-27"
156,bolster,"支持
加強
改善
墊子","0.908773888
0.908773888
0.908773888
0.908773888","2025-02-27
2025-02-27
2025-02-27
2025-02-27"
157,disinterested,"公正無私的
客觀的
不感興趣的","0.90516736
0.90516736
0.90516736","2025-02-27
2025-02-27
2025-02-27"
158,fathom,"理解
弄懂
測量（水深）","0.90516736
0.90516736
0.90516736","2025-02-27
2025-02-27
2025-02-27"
159,flout,"藐視
嘲弄
公然違抗","0.7903123456
0.7903123456
0.7903123456","2025-03-07
2025-03-07
2025-03-07"
160,frugal,"節儉的
節約的","0.868183511
0.868183511","2025-06-22
2025-06-22"
161,hackneyed,"老生常談的
陳腐的
了無新意的","0.90516736
0.90516736
0.90516736","2025-02-27
2025-02-27
2025-02-27"
162,lethargic,"昏睡的
無精打采的
遲鈍的","0.90516736
0.90516736
0.90516736","2025-02-27
2025-02-27
2025-02-27"
163,parsimonious,"吝嗇的
過於節儉的","0.9040724992
0.9040724992","2025-02-27
2025-02-27"
164,peculiar,"奇怪的
獨特的
特有的","0.90516736
0.90516736
0.90516736","2025-02-27
2025-02-27
2025-02-27"
165,prerequisite,"先決條件
前提","0.90516736
0.90516736","2025-02-27
2025-02-27"
166,shun,"避開
迴避
躲避","0.8814592
0.8814592
0.8814592","2025-02-27
2025-02-27
2025-02-27"
167,spurious,"假的
偽造的
不真實的","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
168,supplement,"補充
增補
補給品
補充物","0.9096832
0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
169,vacillate,"猶豫不決
躊躇
搖擺不定","0.772861399
0.772861399
0.772861399","2025-03-09
2025-03-09
2025-03-09"
170,exigent,"緊急的
迫切的
苛求的","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
171,altruism,"利他主義
無私","0.9096832
0.9096832","2025-06-28
2025-06-28"
172,inept,"笨拙的
不稱職的
無能的","0.879675904
0.879675904
0.879675904","2025-06-28
2025-06-28
2025-06-28"
173,concede,"承認
讓步
允許","0.8357929984
0.8357929984
0.8357929984","2025-03-10
2025-03-10
2025-03-10"
174,precedent,"先例
範例","0.9096832
0.9096832","2025-06-28
2025-06-28"
175,precursor,"先驅
前兆
前身","0.7096832
0.7096832
0.7096832","2025-06-28
2025-06-28
2025-06-28"
176,facetious,"滑稽的
輕浮的
不認真的","0.7096832
0.7096832
0.7096832","2025-06-28
2025-06-28
2025-06-28"
177,deference,"尊重
敬意
順從","0.879675904
0.879675904
0.879675904","2025-06-28
2025-06-28
2025-06-28"
178,peripheral,"周邊的
次要的
邊緣的","0.79974656
0.79974656
0.79974656","2025-06-22
2025-06-22
2025-06-22"
179,diffuse,"散佈
擴散
傳播
冗長的
不集中的","0.9096832
0.9096832
0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
180,congenial,"意氣相投的
性格相近的
適意的
舒適的","0.7496832
0.7496832
0.7496832
0.7496832","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
181,aggrandize,"擴大…的權勢（或地位、財富）
增加…的重要性
吹捧
誇大","0.9096832
0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
182,alleviate,"減輕
緩解（疼痛、困難等）","0.9096832
0.9096832","2025-06-28
2025-06-28"
183,lucrative,"賺錢的
有利可圖的","0.9096832
0.9096832","2025-06-28
2025-06-28"
184,innovative,"創新的
新穎的","0.9096832
0.9096832","2025-06-28
2025-06-28"
185,anonymity,"匿名
不具名","0.879675904
0.879675904","2025-06-28
2025-06-28"
186,compatible,"相容的
協調的
合得來的","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
187,impede,"阻礙
妨礙","0.9096832
0.9096832","2025-06-28
2025-06-28"
188,pedestrian,"行人
徒步的
（文章、藝術等）平淡無奇的
乏味的","0.9096832
0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
189,impetuous,"衝動的
魯莽的
性急的","0.9114443776
0.9114443776
0.9114443776","2025-06-28
2025-06-28
2025-06-28"
190,complacent,"自滿的
沾沾自喜的","0.7096832
0.7096832","2025-06-28
2025-06-28"
191,inexplicable,"無法解釋的
費解的","0.9037407232
0.9037407232","2025-06-28
2025-06-28"
192,replicate,"複製
重複","0.8928584704
0.8928584704","2025-06-22
2025-06-22"
193,apprehend,"逮捕
理解
領會
擔心
憂慮","0.9096832
0.9096832
0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
194,pristine,"原始的
未被破壞的
嶄新的
潔淨的","0.9096832
0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
195,derivative,"派生的
衍生的
缺乏獨創性的
衍生產品","0.9096832
0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
196,conscientious,"認真的
盡責的
憑良心的","0.9037407232
0.9037407232
0.9037407232","2025-06-28
2025-06-28
2025-06-28"
197,assert,"斷言
堅稱
維護
主張（權利等）
表現（自己）","0.9096832
0.9096832
0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
198,consistent,"一貫的
始終如一的
一致的
符合的","0.89402176
0.89402176
0.89402176
0.89402176","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
199,insolent,"傲慢的
無禮的
侮辱性的","0.8716352238
0.8716352238
0.8716352238","2025-06-22
2025-06-22
2025-06-22"
200,conspicuous,"顯眼的
引人注目的
明顯的","0.90637696
0.90637696
0.90637696","2025-06-22
2025-06-22
2025-06-22"
201,distortion,"扭曲
變形
曲解
失真","0.8928584704
0.8928584704
0.8928584704
0.8928584704","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
202,intricate,"錯綜複雜的
盤根錯節的
複雜精細的","0.8740814234
0.8740814234
0.8740814234","2025-06-22
2025-06-22
2025-06-22"
203,inadvertent,"無意的
不經意的
疏忽的","0.8101068186
0.8101068186
0.8101068186","2025-03-09
2025-03-09
2025-03-09"
204,viable,"可行的
能獨立生存的
能養活的","0.8928584704
0.8928584704
0.8928584704","2025-06-22
2025-06-22
2025-06-22"
205,buoyant,"有浮力的
能浮起的
輕快的
活潑的
繁榮的
上漲的","0.9096832
0.9096832
0.9096832
0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
206,empiricism,"經驗主義
經驗論","0.9096832
0.9096832","2025-06-28
2025-06-28"
207,exuberant,"熱情的
精力充沛的
繁茂的
豐富的","0.9096832
0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
208,fickle,"變幻無常的
浮躁的
易變的","0.88436992
0.88436992
0.88436992","2025-06-22
2025-06-22
2025-06-22"
209,inhibited,"拘謹的
內向的
壓抑的
受抑制的","0.8928584704
0.8928584704
0.8928584704
0.8928584704","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
210,intelligible,"可理解的
明白易懂的","0.8473384096
0.8473384096","2025-03-08
2025-03-08"
211,opprobrium,"公開的譴責
恥辱","0.9114443776
0.9114443776","2025-06-28
2025-06-28"
212,pretentious,"炫耀的
做作的
自命不凡的","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
213,rancor,"深仇
積怨","0.9096832
0.9096832","2025-06-28
2025-06-28"
214,reiterate,"重申
反復地說","0.9096832
0.9096832","2025-06-28
2025-06-28"
215,restive,"焦躁不安的
難以控制的","0.879675904
0.879675904","2025-02-27
2025-02-27"
216,undercut,"削弱
以低價競爭","0.9096832
0.9096832","2025-06-28
2025-06-28"
217,veneration,"尊敬
崇敬","0.9096832
0.9096832","2025-06-28
2025-06-28"
218,acrimonious,"尖刻的
刻薄的","0.8928584704
0.8928584704","2025-06-22
2025-06-22"
219,acrimony,"尖刻
刻薄","0.9096832
0.9096832","2025-06-28
2025-06-28"
220,exacting,"嚴格的
要求高的
費力的","0.849509421
0.849509421
0.849509421","2025-06-28
2025-06-28
2025-06-28"
221,antagonistic,"敵對的
對抗的","0.9096832
0.9096832","2025-06-28
2025-06-28"
